neighbourhood_cleansed,Price Mean,Price Median,Price Std Dev,Price Variance,Price Min,Price Max,Price Q1,Price Q3,Most Common Room Type,Reviews Mean,Reviews Median,Reviews Std Dev,Reviews Min,Reviews Max
Amager Vest,1205.7544853635504,1000.0,2121.656423941797,4501425.981253495,200.0,64900.0,722.0,1400.0,Entire home/apt,21.05854579792257,9.0,38.92876012655739,1,536
Amager st,1019.8603896103896,851.0,704.7696111187762,496700.20475651097,135.0,10000.0,650.0,1190.0,Entire home/apt,22.203463203463205,9.0,38.72398296790983,1,453
Bispebjerg,912.066225165563,747.5,1831.8106120248044,3355530.1183266887,143.0,44000.0,542.25,961.0,Entire home/apt,16.392384105960264,7.0,34.32809226689884,1,550
Brønshøj-Husum,875.4877192982456,750.0,552.0097442719547,304714.7577711888,145.0,4462.0,500.0,1100.0,Entire home/apt,16.256140350877192,8.0,25.761111492564616,1,287
Frederiksberg,1216.67629566695,1000.0,1866.6199931153187,3484270.198697833,185.0,58000.0,750.0,1339.0,Entire home/apt,17.204757858963468,9.0,25.457809123542813,1,298
Indre By,1570.90726681128,1350.0,1065.9759803280092,1136304.79063626,165.0,20000.0,995.0,1870.5,Entire home/apt,32.81941431670282,14.0,54.71890812741281,1,602
Nørrebro,1014.7929022848809,900.0,609.3904581103801,371356.7304359789,79.0,12500.0,720.0,1199.0,Entire home/apt,18.089450656295575,9.0,27.208443316082192,1,431
Valby,932.1372912801485,800.0,622.8362513421628,387924.9959859578,127.0,7429.0,600.0,1119.5,Entire home/apt,15.782931354359926,7.0,26.347111146018108,1,268
Vanløse,874.5436241610738,750.5,502.5610167249369,252567.5755316023,200.0,3643.0,536.75,1091.75,Entire home/apt,21.835570469798657,8.0,39.850517951296446,1,324
Vesterbro-Kongens Enghave,1114.6386430678467,999.0,692.6002863247636,479695.1566171445,186.0,10800.0,760.25,1299.0,Entire home/apt,22.16715830875123,9.0,44.293365155965084,1,711
Østerbro,1183.8911877394637,979.0,1385.2379777576054,1918884.2550219805,200.0,41800.0,750.0,1331.0,Entire home/apt,16.144061302681994,8.0,24.15985421270297,1,267
